[2026-08-22 18:21:08,870] 15 root - INFO - Intiate the data ingestion
[2026-08-22 18:21:19,458] 65 root - INFO - Performed train test split on the dataframe
[2026-08-22 18:21:19,458] 66 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2026-08-22 18:21:19,458] 71 root - INFO - Exporting train and test file path.
[2026-08-22 18:21:19,574] 17 root - INFO - Data Initiation completed.
[2026-08-22 18:21:19,582] 21 root - INFO - Initiate the data Validation
[2026-08-22 18:21:19,701] 32 root - INFO - Required number of columns: 31
[2026-08-22 18:21:19,701] 33 root - INFO - DataFrame has columns:31
[2026-08-22 18:21:19,701] 32 root - INFO - Required number of columns: 31
[2026-08-22 18:21:19,701] 33 root - INFO - DataFrame has columns:31
[2026-08-22 18:21:20,064] 23 root - INFO - Data Validation completed.
